date,workerid,amount
Thu Mar 14 18:03:36 PDT 2019,A1WGRJBTGURKP0,0.4
Fri Mar 15 00:04:16 PDT 2019,AFASY2VX8PADR,0.4
Fri Mar 15 02:47:42 PDT 2019,A32Y9JC775LYLV,0.4
Fri Mar 15 02:49:41 PDT 2019,A1WUZOLVPEXOLE,0.4
Fri Mar 15 02:50:01 PDT 2019,A2WWKCWR04ZO1B,0.4
Fri Mar 15 03:11:22 PDT 2019,A25UFF6UC1OU81,0.4
Fri Mar 15 18:01:55 PDT 2019,AIWFF8O972KCQ,0.4
Fri Mar 15 22:58:24 PDT 2019,A1WSSSEYTPLEUW,0.4
Sat Mar 16 15:14:51 PDT 2019,A2N9WC0ERVHXDY,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
