date,workerid,amount
Thu Mar 14 16:57:41 PDT 2019,A337VY6C7PZWA3,0.4
Thu Mar 14 20:43:22 PDT 2019,A80ZQS34472ZL,0.4
Thu Mar 14 20:50:50 PDT 2019,A2807HUMU6JG6Z,0.4
Fri Mar 15 23:05:17 PDT 2019,A26YXLMZ98ABQO,0.4
Sun Mar 17 07:48:55 PDT 2019,A344NL79X7M487,0.4
Sun Mar 17 09:06:21 PDT 2019,A2ERKM296YDYZD,0.4
Sun Mar 17 09:23:28 PDT 2019,A2C1IFZDURY55T,0.4
Sun Mar 17 11:28:58 PDT 2019,A1ZNQ24OBLQBLV,0.4
Sun Mar 17 18:03:53 PDT 2019,A1N53V41FMCR7Q,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
